Vardas                        Pavarde                       Galutinis balas (vidurkis)    
Vardenis0                     Pavardenis0                   3.60                          
Vardenis1                     Pavardenis1                   3.52                          
Vardenis10                    Pavardenis10                  3.84                          
Vardenis100                   Pavardenis100                 3.60                          
Vardenis1000                  Pavardenis1000                3.60                          
Vardenis1001                  Pavardenis1001                3.20                          
Vardenis1002                  Pavardenis1002                3.20                          
Vardenis1003                  Pavardenis1003                2.72                          
Vardenis1004                  Pavardenis1004                3.36                          
Vardenis1005                  Pavardenis1005                3.28                          
Vardenis1006                  Pavardenis1006                3.36                          
Vardenis1007                  Pavardenis1007                4.08                          
Vardenis1008                  Pavardenis1008                3.76                          
Vardenis1009                  Pavardenis1009                3.52                          
Vardenis101                   Pavardenis101                 3.60                          
Vardenis1010                  Pavardenis1010                4.40                          
Vardenis1011                  Pavardenis1011                4.24                          
Vardenis1012                  Pavardenis1012                2.40                          
Vardenis1013                  Pavardenis1013                3.92                          
Vardenis1014                  Pavardenis1014                3.68                          
Vardenis1015                  Pavardenis1015                2.56                          
Vardenis1016                  Pavardenis1016                2.88                          
Vardenis1017                  Pavardenis1017                3.92                          
Vardenis1018                  Pavardenis1018                3.60                          
Vardenis1019                  Pavardenis1019                3.60                          
Vardenis102                   Pavardenis102                 3.36                          
Vardenis1020                  Pavardenis1020                3.28                          
Vardenis1021                  Pavardenis1021                3.68                          
Vardenis1022                  Pavardenis1022                3.60                          
Vardenis1023                  Pavardenis1023                3.76                          
Vardenis1024                  Pavardenis1024                3.04                          
Vardenis1025                  Pavardenis1025                3.52                          
Vardenis1026                  Pavardenis1026                3.12                          
Vardenis1027                  Pavardenis1027                2.96                          
Vardenis1028                  Pavardenis1028                3.52                          
Vardenis1029                  Pavardenis1029                2.88                          
Vardenis103                   Pavardenis103                 2.96                          
Vardenis1030                  Pavardenis1030                3.20                          
Vardenis1031                  Pavardenis1031                4.16                          
Vardenis1032                  Pavardenis1032                3.44                          
Vardenis1033                  Pavardenis1033                4.56                          
Vardenis1034                  Pavardenis1034                3.76                          
Vardenis1035                  Pavardenis1035                4.16                          
Vardenis1036                  Pavardenis1036                4.00                          
Vardenis1037                  Pavardenis1037                2.80                          
Vardenis1038                  Pavardenis1038                2.72                          
Vardenis1039                  Pavardenis1039                3.28                          
Vardenis104                   Pavardenis104                 4.48                          
Vardenis1040                  Pavardenis1040                4.56                          
Vardenis1041                  Pavardenis1041                2.40                          
Vardenis1042                  Pavardenis1042                3.84                          
Vardenis1043                  Pavardenis1043                3.20                          
Vardenis1044                  Pavardenis1044                3.20                          
Vardenis1045                  Pavardenis1045                3.28                          
Vardenis1046                  Pavardenis1046                3.36                          
Vardenis1047                  Pavardenis1047                2.40                          
Vardenis1048                  Pavardenis1048                2.80                          
Vardenis1049                  Pavardenis1049                3.68                          
Vardenis105                   Pavardenis105                 3.52                          
Vardenis1050                  Pavardenis1050                3.76                          
Vardenis1051                  Pavardenis1051                2.80                          
Vardenis1052                  Pavardenis1052                4.16                          
Vardenis1053                  Pavardenis1053                3.60                          
Vardenis1054                  Pavardenis1054                2.48                          
Vardenis1055                  Pavardenis1055                4.08                          
Vardenis1056                  Pavardenis1056                4.00                          
Vardenis1057                  Pavardenis1057                3.12                          
Vardenis1058                  Pavardenis1058                3.28                          
Vardenis1059                  Pavardenis1059                3.36                          
Vardenis106                   Pavardenis106                 4.00                          
Vardenis1060                  Pavardenis1060                3.28                          
Vardenis1061                  Pavardenis1061                2.64                          
Vardenis1062                  Pavardenis1062                3.92                          
Vardenis1063                  Pavardenis1063                3.20                          
Vardenis1064                  Pavardenis1064                3.36                          
Vardenis1065                  Pavardenis1065                2.72                          
Vardenis1066                  Pavardenis1066                3.20                          
Vardenis1067                  Pavardenis1067                3.20                          
Vardenis1068                  Pavardenis1068                3.36                          
Vardenis1069                  Pavardenis1069                2.96                          
Vardenis107                   Pavardenis107                 3.68                          
Vardenis1070                  Pavardenis1070                4.08                          
Vardenis1071                  Pavardenis1071                3.36                          
Vardenis1072                  Pavardenis1072                2.80                          
Vardenis1073                  Pavardenis1073                3.92                          
Vardenis1074                  Pavardenis1074                2.80                          
Vardenis1075                  Pavardenis1075                3.36                          
Vardenis1076                  Pavardenis1076                3.60                          
Vardenis1077                  Pavardenis1077                3.68                          
Vardenis1078                  Pavardenis1078                3.36                          
Vardenis1079                  Pavardenis1079                2.64                          
Vardenis108                   Pavardenis108                 2.48                          
Vardenis1080                  Pavardenis1080                3.84                          
Vardenis1081                  Pavardenis1081                3.28                          
Vardenis1082                  Pavardenis1082                3.92                          
Vardenis1083                  Pavardenis1083                4.08                          
Vardenis1084                  Pavardenis1084                4.08                          
Vardenis1085                  Pavardenis1085                4.40                          
Vardenis1086                  Pavardenis1086                3.60                          
Vardenis1087                  Pavardenis1087                4.32                          
Vardenis1088                  Pavardenis1088                3.28                          
Vardenis1089                  Pavardenis1089                3.60                          
Vardenis109                   Pavardenis109                 3.68                          
Vardenis1090                  Pavardenis1090                3.68                          
Vardenis1091                  Pavardenis1091                3.60                          
Vardenis1092                  Pavardenis1092                3.04                          
Vardenis1093                  Pavardenis1093                3.12                          
Vardenis1094                  Pavardenis1094                3.20                          
Vardenis1095                  Pavardenis1095                3.20                          
Vardenis1096                  Pavardenis1096                3.68                          
Vardenis1097                  Pavardenis1097                2.80                          
Vardenis1098                  Pavardenis1098                4.56                          
Vardenis1099                  Pavardenis1099                3.60                          
Vardenis11                    Pavardenis11                  3.84                          
Vardenis110                   Pavardenis110                 4.48                          
Vardenis1100                  Pavardenis1100                2.96                          
Vardenis1101                  Pavardenis1101                3.12                          
Vardenis1102                  Pavardenis1102                3.52                          
Vardenis1103                  Pavardenis1103                3.52                          
Vardenis1104                  Pavardenis1104                4.08                          
Vardenis1105                  Pavardenis1105                3.36                          
Vardenis1106                  Pavardenis1106                2.88                          
Vardenis1107                  Pavardenis1107                3.36                          
Vardenis1108                  Pavardenis1108                4.08                          
Vardenis1109                  Pavardenis1109                2.56                          
Vardenis111                   Pavardenis111                 3.04                          
Vardenis1110                  Pavardenis1110                2.88                          
Vardenis1111                  Pavardenis1111                3.44                          
Vardenis1112                  Pavardenis1112                3.12                          
Vardenis1113                  Pavardenis1113                4.48                          
Vardenis1114                  Pavardenis1114                3.84                          
Vardenis1115                  Pavardenis1115                3.68                          
Vardenis1116                  Pavardenis1116                4.40                          
Vardenis1117                  Pavardenis1117                3.28                          
Vardenis1118                  Pavardenis1118                3.12                          
Vardenis1119                  Pavardenis1119                3.60                          
Vardenis112                   Pavardenis112                 2.88                          
Vardenis1120                  Pavardenis1120                3.04                          
Vardenis1121                  Pavardenis1121                2.40                          
Vardenis1122                  Pavardenis1122                3.12                          
Vardenis1123                  Pavardenis1123                3.92                          
Vardenis1124                  Pavardenis1124                3.76                          
Vardenis1125                  Pavardenis1125                3.36                          
Vardenis1126                  Pavardenis1126                3.04                          
Vardenis1127                  Pavardenis1127                2.40                          
Vardenis1128                  Pavardenis1128                4.40                          
Vardenis1129                  Pavardenis1129                2.56                          
Vardenis113                   Pavardenis113                 3.44                          
Vardenis1130                  Pavardenis1130                3.36                          
Vardenis1131                  Pavardenis1131                3.60                          
Vardenis1132                  Pavardenis1132                2.64                          
Vardenis1133                  Pavardenis1133                3.28                          
Vardenis1134                  Pavardenis1134                4.32                          
Vardenis1135                  Pavardenis1135                3.20                          
Vardenis1136                  Pavardenis1136                2.88                          
Vardenis1137                  Pavardenis1137                2.40                          
Vardenis1138                  Pavardenis1138                2.80                          
Vardenis1139                  Pavardenis1139                2.48                          
Vardenis114                   Pavardenis114                 2.88                          
Vardenis1140                  Pavardenis1140                3.44                          
Vardenis1141                  Pavardenis1141                3.60                          
Vardenis1142                  Pavardenis1142                3.60                          
Vardenis1143                  Pavardenis1143                2.88                          
Vardenis1144                  Pavardenis1144                3.76                          
Vardenis1145                  Pavardenis1145                3.12                          
Vardenis1146                  Pavardenis1146                3.04                          
Vardenis1147                  Pavardenis1147                3.92                          
Vardenis1148                  Pavardenis1148                4.00                          
Vardenis1149                  Pavardenis1149                3.28                          
Vardenis115                   Pavardenis115                 3.36                          
Vardenis1150                  Pavardenis1150                2.32                          
